d1ahpa_	d1ahpa_	1.000	796	0	0	1	796	1	796	0.000E+00	1653
d1ayxa_	d1ayxa_	1.000	492	0	0	1	492	1	492	0.000E+00	1000
d1b3ub_	d1b3ub_	1.000	588	0	0	1	588	1	588	0.000E+00	1174
d1b8ba_	d1b8ba_	1.000	563	0	0	1	563	1	563	0.000E+00	1176
d1bf2a3	d1bf2a3	1.000	475	0	0	1	475	1	475	0.000E+00	994
d1cbza_	d1cbza_	1.000	505	0	0	1	505	1	505	0.000E+00	1000
d1cjyb2	d1cjyb2	1.000	576	0	0	1	576	1	576	0.000E+00	1178
d1dgja4	d1dgja4	1.000	596	0	0	1	596	1	596	0.000E+00	1244
d1e5xa_	d1e5xa_	1.000	477	0	0	1	477	1	477	0.000E+00	989
d1epua_	d1epua_	1.000	590	0	0	1	590	1	590	0.000E+00	1213
d1epwa3	d1epwa3	1.000	533	0	0	1	533	1	533	0.000E+00	1092
d1fa2a_	d1fa2a_	1.000	498	0	0	1	498	1	498	0.000E+00	1058
d1ffta_	d1ffta_	1.000	501	0	0	1	501	1	501	0.000E+00	1027
d1g5aa2	d1g5aa2	1.000	554	0	0	1	554	1	554	0.000E+00	1181
d1g8kc2	d1g8kc2	1.000	679	0	0	1	679	1	679	0.000E+00	1440
d1gjua2	d1gjua2	1.000	572	0	0	1	572	1	572	0.000E+00	1212
d1gqib1	d1gqib1	1.000	561	0	0	1	561	1	561	0.000E+00	1205
d1h38a_	d1h38a_	1.000	882	0	0	1	882	1	882	0.000E+00	1794
d1h54b1	d1h54b1	1.000	481	0	0	1	481	1	481	0.000E+00	1012
d1i50a_	d1i50a_	1.000	1449	0	0	1	1449	1	1449	0.000E+00	2943
d1i7qa_	d1i7qa_	1.000	517	0	0	1	517	1	517	0.000E+00	1022
d1itwb_	d1itwb_	1.000	740	0	0	1	740	1	740	0.000E+00	1476
d1iwpl_	d1iwpl_	1.000	555	0	0	1	555	1	555	0.000E+00	1089
d1jqka_	d1jqka_	1.000	610	0	0	1	610	1	610	0.000E+00	1226
d1k8ta_	d1k8ta_	1.000	509	0	0	1	509	1	509	0.000E+00	1022
d1kvpa_	d1kvpa_	1.000	497	0	0	1	497	1	497	0.000E+00	1046
d1l1la_	d1l1la_	1.000	721	0	0	1	721	1	721	0.000E+00	1480
d1l1yb_	d1l1yb_	1.000	642	0	0	1	642	1	642	0.000E+00	1396
d1l5jb3	d1l5jb3	1.000	490	0	0	1	490	1	490	0.000E+00	999
d1lmla_	d1lmla_	1.000	475	0	0	1	475	1	475	0.000E+00	998
d1m1ca_	d1m1ca_	1.000	651	0	0	1	651	1	651	0.000E+00	1360
d1mqsa_	d1mqsa_	1.000	653	0	0	1	653	1	653	0.000E+00	1294
d1muka_	d1muka_	1.000	1264	0	0	1	1264	1	1264	0.000E+00	2595
d1n2ka_	d1n2ka_	1.000	486	0	0	1	486	1	486	0.000E+00	1025
d1n7ua_	d1n7ua_	1.000	554	0	0	1	554	1	554	0.000E+00	1155
d1no7b_	d1no7b_	1.000	562	0	0	1	562	1	562	0.000E+00	1173
d1oaha_	d1oaha_	1.000	482	0	0	1	482	1	482	0.000E+00	1040
d1oaoc_	d1oaoc_	1.000	729	0	0	1	729	1	729	0.000E+00	1514
d1ofda2	d1ofda2	1.000	809	0	0	1	809	1	809	0.000E+00	1633
d1ohfc_	d1ohfc_	1.000	600	0	0	1	600	1	600	0.000E+00	1221
d1oqzb_	d1oqzb_	1.000	686	0	0	1	686	1	686	0.000E+00	1441
d1ordb2	d1ordb2	1.000	462	0	0	1	462	1	462	0.000E+00	980
d1p2za1	d1p2za1	1.000	646	0	0	1	646	1	646	0.000E+00	1332
d1pema2	d1pema2	1.000	525	0	0	1	525	1	525	0.000E+00	1072
d1rlra2	d1rlra2	1.000	525	0	0	1	525	1	525	0.000E+00	1075
d1rt8a_	d1rt8a_	1.000	505	0	0	1	505	1	505	0.000E+00	1015
d1ry2a_	d1ry2a_	1.000	640	0	0	1	640	1	640	0.000E+00	1337
d1s48a_	d1s48a_	1.000	588	0	0	1	588	1	588	0.000E+00	1219
d1sh0b_	d1sh0b_	1.000	503	0	0	1	503	1	503	0.000E+00	1056
d1slia2	d1slia2	1.000	483	0	0	1	483	1	483	0.000E+00	1005
d1sp3a_	d1sp3a_	1.000	442	0	0	1	442	1	442	0.000E+00	980
d1t7pa2	d1t7pa2	1.000	494	0	0	1	494	1	494	0.000E+00	1040
d1t8wf_	d1t8wf_	1.000	477	0	0	1	477	1	477	0.000E+00	995
d1thga1	d1thga1	1.000	543	0	0	1	543	1	543	0.000E+00	1130
d1tmoa2	d1tmoa2	1.000	627	0	0	1	627	1	627	0.000E+00	1342
d1tt5c_	d1tt5c_	1.000	523	0	0	1	523	1	523	0.000E+00	1061
d1tz7b2	d1tz7b2	1.000	485	0	0	1	485	1	485	0.000E+00	1019
d1tzod1	d1tzod1	1.000	510	0	0	1	510	1	510	0.000E+00	1006
d1u6gc_	d1u6gc_	1.000	1207	0	0	1	1207	1	1207	0.000E+00	2368
d1uf2a_	d1uf2a_	1.000	967	0	0	1	967	1	967	0.000E+00	1945
d1ukla_	d1ukla_	1.000	876	0	0	1	876	1	876	0.000E+00	1746
d1urjb_	d1urjb_	1.000	1122	0	0	1	1122	1	1122	0.000E+00	2230
d1uvka_	d1uvka_	1.000	664	0	0	1	664	1	664	0.000E+00	1392
d1v0ea1	d1v0ea1	1.000	516	0	0	1	516	1	516	0.000E+00	1116
d1v7va1	d1v7va1	1.000	531	0	0	1	531	1	531	0.000E+00	1148
d1vg0a1	d1vg0a1	1.000	492	0	0	1	492	1	492	0.000E+00	994
d1w9ma_	d1w9ma_	1.000	553	0	0	1	553	1	553	0.000E+00	1124
d1xmea_	d1xmea_	1.000	557	0	0	1	557	1	557	0.000E+00	1145
d1xrsa_	d1xrsa_	1.000	516	0	0	1	516	1	516	0.000E+00	1031
d1ya0a1	d1ya0a1	1.000	497	0	0	1	497	1	497	0.000E+00	1012
d1z1nx_	d1z1nx_	1.000	520	0	0	1	520	1	520	0.000E+00	1100
d1z3hb_	d1z3hb_	1.000	958	0	0	1	958	1	958	0.000E+00	1880
d2a3la1	d2a3la1	1.000	628	0	0	1	628	1	628	0.000E+00	1313
d2ar0b_	d2ar0b_	1.000	522	0	0	1	522	1	522	0.000E+00	1079
d2b1ea_	d2b1ea_	1.000	557	0	0	1	557	1	557	0.000E+00	1109
d2btva_	d2btva_	1.000	845	0	0	1	845	1	845	0.000E+00	1725
d2cfua2	d2cfua2	1.000	505	0	0	1	505	1	505	0.000E+00	1043
d2d32a_	d2d32a_	1.000	518	0	0	1	518	1	518	0.000E+00	1059
d2f48b_	d2f48b_	1.000	552	0	0	1	552	1	552	0.000E+00	1121
d2gufa_	d2gufa_	1.000	594	0	0	1	594	1	594	0.000E+00	1244
d2i7xa1	d2i7xa1	1.000	515	0	0	1	515	1	515	0.000E+00	1040
d2iagb1	d2iagb1	1.000	478	0	0	1	478	1	478	0.000E+00	990
d2iouh_	d2iouh_	1.000	535	0	0	1	535	1	535	0.000E+00	1034
d2o3ea_	d2o3ea_	1.000	665	0	0	1	665	1	665	0.000E+00	1343
d2ooea1	d2ooea1	1.000	529	0	0	1	529	1	529	0.000E+00	1083
